Customer ID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Score,Segment
12346.0,3,7,158.5,4,2,1,421,Regular
12358.0,30,1,1429.83,2,1,4,214,At Risk
12359.0,21,2,838.89,4,1,4,414,Regular
12362.0,37,1,130.0,1,1,1,111,At Risk
12417.0,28,2,317.6,2,1,2,212,At Risk
12422.0,20,1,75.0,4,1,1,411,Regular
12435.0,36,1,1008.0,1,1,4,114,At Risk
12437.0,35,1,578.28,1,1,3,113,At Risk
12439.0,24,1,1081.66,3,1,4,314,Regular
12440.0,16,1,568.51,4,1,3,413,Regular
12443.0,30,1,485.31,2,1,3,213,At Risk
12455.0,20,1,1636.43,4,1,4,414,Regular
12471.0,17,7,3281.22,4,2,4,424,Regular
12472.0,24,1,1286.43,3,1,4,314,Regular
12487.0,29,1,285.29999999999995,2,1,2,212,At Risk
12490.0,37,1,603.94,1,1,3,113,At Risk
12510.0,34,1,435.88,1,1,3,113,At Risk
12523.0,31,1,74.56,2,1,1,211,At Risk
12533.0,37,1,929.92,1,1,4,114,At Risk
12539.0,15,2,5149.06,4,1,4,414,Regular
12540.0,30,1,412.6,2,1,3,213,At Risk
12557.0,21,1,1952.64,4,1,4,414,Regular
12577.0,34,1,210.55,1,1,2,112,At Risk
12583.0,32,1,817.4399999999999,2,1,4,214,At Risk
12586.0,22,1,422.35,3,1,3,313,Regular
12600.0,25,2,433.89000000000004,3,1,3,313,Regular
12609.0,18,1,330.6,4,1,2,412,Regular
12613.0,24,1,1350.81,3,1,4,314,Regular
12636.0,37,1,141.0,1,1,1,111,At Risk
12664.0,25,1,549.08,3,1,3,313,Regular
12681.0,25,1,1014.54,3,1,4,314,Regular
12682.0,17,3,1072.95,4,2,4,424,Regular
12683.0,17,2,1233.3600000000001,4,1,4,414,Regular
12708.0,20,1,205.47,4,1,2,412,Regular
12709.0,29,2,1661.56,2,1,4,214,At Risk
12712.0,29,1,333.8,2,1,2,212,At Risk
